Damn I miss Cebu City! Good morning Pinas!	[Pinas, [14.0,121.0], Cebu City, [10.0,124.0]]	[tp{Pinas}tp]	tp{Pinas[-3.666670083999634,-79.6500015258789]}tptp{Cebu City[10.316720008850098,123.89070892333984]}tp
"If I was Clemson, I'd punt and wait for Miles to call three pass plays."	[]	[tp{Clemson}tp]	
WOW THATS GOTTA STING HARRY OBVIOUSLY DOESNT GIVE A SHIT ABOUT WHAT YOU ASSWIPES THNK HES HIS OWN MAN DEAL WITH IT CYA http://t.co/L8K1NCZm	[]	[]	
@biancagem happy new year!:)	[]	[]	
"@SUEANNEsays If I can't have a love life, at least I'm blessed with thoughtful and caring friends. ????"	[]	[]	
I want to go to brazil! Looks beautiful ????	[brazil, [-15.0,-49.0]]	[TP{brazil}TP, tp{brazil}tp]	tp{brazil[39.523651123046875,-87.1250228881836]}tp
"This year my New Years kiss was from a boy. The two years before, they were from girls. Lmfao #Waddupp"	[]	[]	
@heartGChance birthday akucesok sorry! tiada hadiah utuk kau	[]	[]	
Another year without a New Years kiss #GetOverYourself	[]	[]	
geram dgn dia but it's nothing bout that but just erghh . .	[]	[]	
"What a shit day, my god! A burst tire is what ya want right now"	[]	[]	
Office (@ Tata Motors) http://t.co/Nf7auxSJ	[]	[tp{Tata}tp]	
@SamuelAdamsBeer it's a happy new years eve http://t.co/y4o3gFYv	[]	[]	
Death row. What a brother knows.	[]	[]	
Once again, back is "	[]	[]	
Back that ass up wallyxo @ Stoney Lake http://t.co/6dnSTftU	[Stoney Lake, [45.0,-78.0]]	[]	
On my way back home to cincy!!! Can't wait to see my siblings an my bay ima hump y'all when I see y'all so b ready !!!!!!! ???????????????????????????	[Cincy, [39.0,-85.0]]	[]	
Y am I so tired on New Years?	[]	[]	
Only on New Years.	[]	[]	
"Finally Benefit is going to hit Indonesia!!! Yuhuyyy, but imma lil worried with freaking newcomer fans of it..."	[Indonesia, [-5.0,120.0]]	[tp{Indonesia}tp, TP{Indonesia}TP]	
"""""""@Glamorous_Me_xx: @callme_arhma pls ff bak!""""done"""	[]	[tp{bak}tp]	
What a brilliant new year spent with the best people #cya2012	[]	[]	
Happy new year n HBD! @mustyblax wishing u many more years Ahead n Allah's blessings now n alwaiz* hav fun!!!	[]	[]	
"If I could talk I'd wish people a happy new year but I can't so it looks like this will have to do, Happy New Year everyone!"	[]	[]	
My Unc Rollin Up For The New Years... http://t.co/wk3cTjcI	[]	[]	
@YoheileinV igual para ti muchas bendiciones :*	[]	[tp{para}tp]	
@Liam_Reggie forget about that! My beloved forest green are 5-0 away at Newport!	[Newport, [51.0,-1.0]]	[tp{Newport}tp]	tp{Newport[34.78654861450195,-76.8591079711914]}tp
Mindoro tomorrow. I wanna hit the beach so bad	[Mindoro, [13.0,121.0]]	[]	
"New Years is a day like no other, it just marks a new beginning for those who choose to take the opportunity that's presented to them..."	[]	[]	
Its fuckin crazy the amount of people in Times Square right now #NYE	[Times Square, [41.0,-74.0]]	[tp{NYE}tp, TP{Times Square}TP, st{Times Square}st]	
@TheOnlyAnt you were one of my fave #FitFam Now Katy Perry... You've lost some points :(	[]	[tp{Perry}tp, tp{Katy}tp]	
She has a lot of pretty hair and I look like a twelve year old boy. @erinritzer @ King's Family Restaurant http://t.co/IBxxLB51	[King's Family Restaurant, [40.0,-80.0]]	[bd{Family Restaurant}bd]	
@princemjjjaxon happy new year love ya	[]	[]	
I just became the mayor of Ching Wah Street ????????? on @foursquare! http://t.co/4g1ryUaN	[]	[st{Ching Wah Street}st]	
Bienvenidos a Miami! @ Wayside Baptist Church http://t.co/7HMoo3xk	[Miami, [26.0,-80.0]]	[tp{Miami}tp, bd{Wayside Baptist Church}bd]	tp{Miami[25.774269104003906,-80.19365692138672]}tp
"Well good life, actually (@ Gold's Gym) http://t.co/UMkkeZZI"	[Gold's Gym, [44.0,78.0]]	[]	
Taxi taxi then Makan!! (@ Fat Fish Steamboat) http://t.co/ZEuk87mM	[Fat Fish Steamboat, [1.0,104.0]]	[tp{Makan}tp]	
@foreverMartha10 tell everyone over there in Dallas that happy new year and that I wish you guys the very best!!! I love you guys!!!!??????????????????????	[Dallas, [33.0,-97.0]]	[tp{Dallas}tp, TP{Dallas}TP]	tp{Dallas[32.783058166503906,-96.80667114257812]}tp
"@Krayina_xO Haha, I know of course not me. Tf I'd do to you? Nada. Lol, you know I like gettin' your attention in unique ways ^.^"	[]	[]	
Let the pre gaming begin.	[]	[]	
@BedazzleCats Some of us took a nap so they could stay up to midnight. #partyanimal Happy New Year my friend!!	[]	[]	
@shanna319 happy new year to you!	[]	[]	
"""Happy  new year too momo ??? RT@elmashari: Happy new year shintakk???""""@shintautaridewi: Happy new year 2013"""	[]	[]	
@_velezg Acho callate hahahaha	[]	[]	
"Another turning point, a fork stuck in the road. Time grabs you by the wrist, directs you where to go"	[]	[]	
@WillNUFC it's soo annoying its all these twitter famous twats who don't shut up! Happy new year will	[]	[]	
COGRAFYADAN 49 ALSAM YETIYO ALLAHIM NE OLUR 49 ALAYIM NE OLUR NE OLUR BAKINIZ YUKSEK BIR HEDEF DEGIL SADECE 49	[]	[tp{OLUR}tp]	
"Pitbull, Mr. 305, Mr. Worldwide on #NYE. (@ American Airlines Arena for Pitbull w/ 38 others) http://t.co/23OrlPPk"	[{American, [40.0,-98.0], American Airlines Arena, [26.0,-80.0]]	[tp{NYE}tp]	
Happy Fucking New Years To Me.	[]	[]	
lucky new year bracelet. http://t.co/pJgaTHNa	[]	[]	
i looove @msashleyve"	[]	[]	
Whiskey and Champagne with the parents	[]	[tp{Champagne}tp]	
"#27:Dj Khalad ft.Chris Brown,Lil Wayne,Nicki Minaj"	[]	[tp{Wayne}tp]	
What an end to the best year and an even greater start to 2013.	[]	[]	
This is a fantastic #pdcdarts final. Don't write Taylor off yet.	[]	[tp{Taylor}tp]	
89 meters above sea level (@ Harbour Bridge Pylon Lookout w/ 2 others) [pic]: http://t.co/P14arG2T	[Harbour Bridge Pylon Lookout, [-34.0,151.0]]	[BD{Harbour Bridge Pylon Lookout}BD]	
@Jessica_Tiam jax had it too and I got him a cool mist humidifier and it works wonders.	[]	[]	
I'm at Salsabila Shisha Lounge (Johor Baru) http://t.co/r4uYsjFh	[Johor Baru, [1.0,104.0]]	[tp{Johor}tp, bd{Salsabila Shisha Lounge}bd, tp{Baru}tp]	
I was to on last nite	[]	[]	
I just ousted Lesah S. as the mayor of Starbucks on @foursquare! http://t.co/yNMmjLn1	[]	[]	
I brought in the new years fairly well tho ( :	[]	[]	
"I'm at Regal Virginia Center 20 for Les Miserables (2012) (Glen Allen, VA) http://t.co/tLWSi1CL"	[Regal Virginia Center, [38.0,-78.0], Glen Allen, [38.0,-78.0], VA, [38.0,-78.0]]	[bd{Regal Virginia Center}bd, TP{VA}TP, tp{Glen Allen}tp]	tp{Glen Allen[37.66598129272461,-77.5063705444336]}tptp{VA[37.548118591308594,-77.44674682617188]}tp
Masquerade  @ Claddagh Irish Pub http://t.co/LfSttjoe	[Claddagh Irish Pub, [40.0,-86.0]]	[bd{Claddagh Irish Pub}bd]	
I'm in the back of a pickup truck again. @ Harrah's Casino New Orleans http://t.co/ots6MmCP	[Harrah's, [30.0,-90.0], New Orleans, [30.0,-90.0]]	[tp{Harrah}tp]	tp{New Orleans[29.95465087890625,-90.0750732421875]}tp
Bethel is PACKED :)	[]	[tp{Bethel}tp]	
"""""""You kept worrying that all the cars driving by us were drunk drivers and they were gonna get us killed"""" #swerve"""	[]	[tp{cars}tp]	
Why is #oomf  so perf ????????	[]	[]	
TO END 2012 I JUST WANNA SAY IM GAY AND I LIKE MAN I DON'T KNOW WHY I JUST DO OK LOVE ME ARE HATE HAPPEY NEW YEARS IS *2013* GOOD BYE B>]	[]	[]	
@dolamuO happy new year	[]	[]	
I'm at The Mines Digitamart http://t.co/EpObfFFl	[]	[]	
"Those big ass coats in there, not jackets coats!"	[]	[tp{coats}tp]	
Wishing Everyone a Happy and Healthy New Year!	[]	[]	
@therealenid Happy New Year to all at The Lodge. How are the hangovers today?	[]	[]	
@beakstew  amo a bea cara	[]	[]	
Happy new year!!! 2013 (@ New York-New York Hotel & Casino w/ 12 others) [pic]: http://t.co/MCdQKgHs	[New York, [41.0,74.0], New York-New York Hotel & Casino, [36.0,-115.0]]	[bd{New York-New York Hotel}bd]	
"On the reall , trinna chill , trinna do my own thang ."	[]	[tp{thang}tp]	
Disney gave out thousands of noisy horns. At midnight Disney's Hollywood Studio will be the place for a huge blowjob! :-P	[Disney's Hollywood Studio, [28.0,-82.0]]	[bd{midnight Disney 's Hollywood Studio}bd]	
@visionpassages happy new year beautiful!! Arrived this morning. Jetlag has hit us hard!	[]	[]	
Am I in Ridley park or woodlyn? Decide twitter decider	[Woodlyn, [40.0,-75.0], Ridley Park, [40.0,-75.0]]	[bd{Ridley park}bd, tp{woodlyn}tp]	tp{Woodlyn[39.87232971191406,-75.33712768554688]}tptp{Ridley Park[39.881221771240234,-75.32379913330078]}tp
"@NiallOfficial happy new year too ??? have a good times n' happy all year ,love you?????????"	[]	[]	
I'm at Hardee's / Red Burrito w/ @cyndihuixin http://t.co/UgkcarN1	[]	[]	
"Oh lord, I'm drinking something called a Radioactive Long Island Iced Tea. If I don't tweet tomorrow, call 911 ????lol."	[Long Island, [41.0,-73.0]]	[]	
@babydizl Happy new years:D xxxxxx	[]	[]	
"""Song of the day, """"Rivers and Roads"""" by The Head and the Heart."""	[]	[]	
"""Shiiiit"	[]	[]	
Bit late but a happy new year to everyone! A load of love xx	[]	[]	
Best. Host. Ever. @ Clinton Bakery Cafe http://t.co/30E1L1bW	[Clinton Bakery Caf_, [41.0,-75.0]]	[bd{Clinton Bakery Cafe}bd]	
So much love for The Hives and Jake Bugg #mustseesin2013	[]	[]	
"@RobUsry would cost a lot for sure, but could be worth it. I just don't think Ba is the answet"	[]	[]	
"i've spent 15 summers with my papou, you'd think he'd realize i'm not a morning person... #letmesleep"	[]	[]	
Happy New Years Bitches (:	[]	[]	
I took my rouse bands off for da first time	[]	[]	
Hate a bitch without a back bone	[]	[]	
@ROSEx31 @molly_jayyy @jenna__michaels happy New Years eat friends I love you	[]	[]	
@Pin_Head_Lary alright bruhh thanks bro	[]	[tp{bro}tp]	
"@Woods418 awesome man, we need to hit up New York or Vegas"	[Vegas, [36.0,-115.0], New York, [41.0,-74.0]]	[tp{York}tp]	
"Good luck higgy, you've had a big influence in our recent growth and success."	[]	[]	
"For me, the Kompany and Lescott combination is still the best for Man City. Of cos this shows how dire the situation is."	[]	[]	
Happy New Year everybody (@ ??????24????????????????????????) http://t.co/Lfeug6cn	[]	[]	
At Nigga Lali's house for new years	[]	[]	
New year. Old problems. The usual thing :)	[]	[]	
I'm so sad New Years is over. I been looking forward to it forever ????	[]	[]	
Happy New Year 2013 ????????? http://t.co/1wR0wBky	[]	[]	
For 2012 I was pregnant and sober and my resolution for 2013 is to be neither of those!! Happy New Year!!!	[]	[]	
@TFebriantika @broeryaris @kevintombokan @abethia @jerickostevanus @grahitooo @jejessica_jee @briant_martin @claudiadewips @freakin_fab aku?	[]	[tp{aku}tp]	
I was rolling When theo said my eyeballs were 40 by 40. But i was so mad at the same time lol	[]	[]	
But I got to see my favorite part! Nobody puts baby in the corner	[]	[]	
it's a full geg being a tease isn't it girls?	[]	[]	
Netflix need to put some Paul Mooney stand ups on there	[]	[]	
"QUEM QUISER SER AVALIADO DAR #RT AQUI , N??O PRECISA DE N??MEROS , (TEM QUE SEGUIR , SIGO DE VOLTA) +1"	[]	[]	
Bag brown from @LMforHARDWARE in Sidoarjo. thanks :-) http://t.co/VJ2e2c8q	[Sidoarjo, [-7.0,113.0]]	[tp{Sidoarjo}tp, TP{Sidoarjo}TP]	tp{Sidoarjo[-7.447800159454346,112.71829986572266]}tp
I Got a Boy !!	[]	[]	
@AnaMCampoalegre sexiest miss Santa on the planet ??????????????????? http://t.co/CwSWNM8t	[]	[TP{Santa}TP, tp{Santa}tp]	
Holy batman its freezing out	[]	[tp{batman}tp]	
@spendawgy your welcome spenny bob! There's a bit in sweet nothing video and its image of you! I'll get a pic tomorrow!	[]	[]	
@jenniferfulle26 I know noone comes to mcbean	[]	[]	
@AlissaBalet ahaha bon d'accord ????	[]	[]	
@_WLT_ in two weeks. The security guard in works told me to do you get 8pound an hour and can work doors of nyt clubs its government funded	[]	[tp{nyt}tp]	
Wish I had someone to go to half priced apps with ????	[]	[]	
@AusSofta good luck :D	[]	[]	
Well I like the xx a lot	[]	[]	
@jhirro2 painclude lagi sa shout out ah heheehhe	[]	[tp{lagi}tp]	
"@Liam_Lefr dude, under the bridge with air guitar"	[]	[]	
I'm talking bout pimpin since been pimpin been since pimpin UHHH	[]	[]	
Heart of a soldier."""	[]	[]	
thank you for being there when no one else was... even though you left too	[]	[]	
@donghaenaa0405 promoted me please?  Chigu please thank u so much	[]	[tp{Chigu}tp]	
@JoshEvans90 I hate the gym in Jan. Full of new year idiots	[]	[]	
"No, I'm not perfect! But I bring so much to the table."	[]	[]	
I love blind siding people with how smart I can be. Everyone always takes me as this dumb little kid. Never judge a book by its cover	[]	[tp{siding}tp]	
Work trousers seem a tad tighter this morning #newyeardiet	[]	[]	
"""This girl once said to me """"if he dosnt have money, he better have abs"""" off to the gym - core training tonight ;)"""	[]	[]	
"@murraycummings also, I hope you had a great Christmas and new year!"	[]	[]	
"""""""@iamedem: """"@PMtheDJ: Video shoot with @iamedem today! #TheWarmUp""""< shut down: hit me back"""" ...... wey location"""	[]	[]	
I wanna go to Florida. Someone come with me	[Florida, [28.0,-81.0]]	[tp{Florida}tp, TP{Florida}TP]	tp{Florida[41.33176040649414,-74.35681915283203]}tp
There's a difference thinking you can do and believing you can do - Justin Rose	[]	[]	
Lovers @burnt20FO7 @M_Fritz_1  @ West York Inn http://t.co/xpRKgUJJ	[West York Inn, [40.0,-77.0]]	[bd{West York Inn}bd]	
@f0rrestgump__ they are the best ones	[]	[]	
Jus me an my future.	[]	[]	
I'm at Lake Club: Centre Sportif http://t.co/ieBHvqDh	[Lake Club: Centre Sportif, [37.0,10.0]]	[bd{Lake Club}bd]	
Bitches House Hopn Cant Even Provide 4Dey Self But Worried Bout Toon !	[US, [40.0,-98.0], Canada, [63.0,-98.0]]	[bd{Bitches House}bd]	tp{US[49.099998474121094,1.966670036315918]}tptp{Canada[38.67390060424805,-0.8133000135421753]}tp
"Brunch at the garden centre with my grandad, after helping put up 100+ metres of fencing!!"	[]	[bd{the garden centre}bd]	
Pulang cuss (@ J.CO Donuts & Coffee | Chandra Superstore) http://t.co/PGVEz4vs	[]	[tp{Chandra}tp]	
Here! (@ Fort Lauderdale-Hollywood International Airport (FLL) w/ @mr_sosawesome) http://t.co/yIOPj26H	[Fort Lauderdale-Hollywood International Airport, [26.0,-80.0]]	[bd{Fort Lauderdale-Hollywood International Airport}bd, BD{Fort Lauderdale-Hollywood International Airport}BD]	
Cold but nice today.  @ Crocheron Park http://t.co/q74ozfI2	[Crocheron Park, [41.0,-74.0]]	[bd{Crocheron Park}bd]	
"""""""@wizdom:  A lot females are so smart but yet so stupid when it comes to a relationship or picking a man.""""...."""	[]	[]	
Space age pimpin>>>	[]	[]	
I.G Greatness_Is_A_Must"	[]	[]	
I need a mini fridge for my room.	[]	[]	
"I'm at Bali Royal Hospital (BROS) (Denpasar, Bali) w/ 2 others http://t.co/YC0xdugu"	[Denpasar, [-9.0,115.0], , [-8.0,115.0], Denpasar Royal Hospital, [-9.0,115.0]]	[bd{Bali Royal Hospital}bd, tp{Denpasar}tp, BD{Bali Royal Hospital}BD]	tp{Denpasar[-8.649999618530273,115.21666717529297]}tp
Was out mountain biking 32.64 km with #Endomondo. See it here: http://t.co/hnvfrMHt	[]	[tp{biking}tp]	
I think the Pasadena police just put out a missing person report for Mike Taylor. Hasn't been seen since the Beef Bowl. #badgers	[Pasadena, [34.0,-118.0]]	[tp{Taylor}tp, tp{Pasadena}tp]	tp{Pasadena[29.691059112548828,-95.20909881591797]}tp
Jerry springer is RAW lol	[]	[]	
Vale fans abusing own players on twitter so much they close accounts.... Brilliant! Well done you bunch of clowns.	[]	[]	
"""You can't spell them with out me. """"lil Wayne"""""""	[]	[tp{Wayne}tp]	
@rihanna can you not speak gaga lyrics again you dirty coke head	[]	[]	
"""Victoria secrets """" for men """" stuff smells so good ."""	[]	[tp{Victoria}tp]	
Hanging out in the condo in Vegas. Going to an Abba tribute tonight @malhaack @LeighHaack	[Vegas, [36.0,-115.0]]	[]	
"I'm at The University of Bath (Bath, Somerset) http://t.co/Nea6chno"	[Somerset, [51.0,-2.0], Bath, [51.0,-2.0], University of Bath, [51.0,-2.0]]	[tp{Somerset}tp]	tp{Somerset[29.226350784301758,-98.65779876708984]}tptp{Bath[40.725650787353516,-75.39407348632812]}tp
@SamuelRevering I know I've been here for a week and it's been so clear! haha I'm getting pissed I love the rain	[]	[]	
How many of you have ever felt personally victimized by Regina George?	[]	[tp{Regina}tp, tp{George}tp]	
"I'm at Henry F. Kite Elementary (Jacksonville, Florida) http://t.co/JU8UPduO"	[Jacksonville, [30.0,-82.0], Florida, [29.0,-81.0]]	[tp{Florida}tp, BD{Henry F}BD, TP{Florida}TP, tp{Jacksonville}tp]	tp{Jacksonville[30.33218002319336,-81.65564727783203]}tptp{Florida[41.33176040649414,-74.35681915283203]}tp
@Sheikh326 you must be the smartest kid on the block then #judging	[]	[]	
BCS buster game up next... NIU...watch out FSU. Lol. But seriously. I bet those Huskies will be out for blood hahahahhaha.	[]	[]	
@Draft_Hub @BFTB_Chargers ..If Chargers get Gruden can he also be sideline announcer?..LOL	[]	[]	
I hate when people put lyrics as their IG caption	[]	[tp{IG}tp]	
